new entry "Projectile_SkeletalFireball"
type "SkillData"
data "SkillType" "Projectile"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "Yes"
data "Ability" "Fire"
data "Tier" "Adept"
data "ActionPoints" "3"
data "Cooldown" "2"
data "Damage" "BaseLevelDamage"
data "Damage Multiplier" "115"
data "Damage Range" "10"
data "DamageType" "Fire"
data "SkillProperties" "Ignite;BURNING,100,1;CreateSurface,2,,Fire,100"
data "TargetRadius" "13"
data "AddRangeFromAbility" "FireSpecialist"
data "DeathType" "Incinerate"
data "ExplodeRadius" "2"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "Yes"
data "CanTargetTerrain" "Yes"
data "ForceTarget" "No"
data "UseCharacterStats" "Yes"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "ProjectileCount" "1"
data "ProjectileDelay" "0"
data "Template" "4e826aea-e44c-45b7-b220-5f4562e33227"
data "Icon" "Skill_Fire_Fireball"
data "DisplayName" "Projectile_SkeletalFireball_DisplayName"
data "DisplayNameRef" " Fireball "
data "Description" "Projectile_SkeletalFireball_Description"
data "DescriptionRef" " Send a fiery sphere that will deal [1] damage. "
data "StatsDescriptionParams" "Damage"
data "PrepareAnimationInit" "skill_prepare_fire_01_start"
data "PrepareAnimationLoop" "skill_prepare_fire_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Fire_Prepare_Fire_Root_01,KeepRot;RS3_FX_Skills_Fire_Prepare_Fire_Hand_01:Dummy_L_HandFX,Dummy_R_HandFX"
data "CastAnimation" "skill_cast_target_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Fire_Cast_Hand_01:Dummy_R_HandFX:cast;RS3_FX_Skills_Fire_Throw_Cast_Hand_01:Dummy_R_HandFX"
data "Memory Cost" "0"
data "Magic Cost" "0"
data "ProjectileTerrainOffset" "Yes"
data "OverrideMinAP" "No"

