new entry "Wall_NecroWall"
type "SkillData"
data "SkillType" "Wall"
data "ForGameMaster" "Yes"
data "Ability" "Earth"
data "Tier" "Master"
data "ActionPoints" "2"
data "Cooldown" "5"
data "TargetRadius" "13"
data "MaxDistance" "7"
data "Lifetime" "2"
data "GrowSpeed" "5"
data "GrowTimeout" "0"
data "SurfaceType" "PoisonCloud"
data "TotalSurfaceCells" "4"
data "SurfaceGrowStep" "4"
data "SurfaceGrowInterval" "1"
data "SurfaceStatusChance" "100"
data "Icon" "Skill_Earth_LivingWall"
data "DisplayName" "Wall_NecroWall_DisplayName"
data "DisplayNameRef" "|Living Wall|"
data "Description" "Wall_NecroWall_Description"
data "DescriptionRef" "|Vines block path in target area, perform a poison attack on anybody that gets close.|"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_totem_01_start"
data "PrepareAnimationLoop" "skill_prepare_totem_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Earth_Prepare_Totem_Root_01,KeepRot,Detach:Dummy_Root"
data "CastAnimation" "skill_cast_summon_totem_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Earth_Cast_Summon_Totem_Root_01:Dummy_Root"
data "SourceTargetEffect" "RS3_FX_UI_Target_LivingWall_Mesh_01"
data "TargetTargetEffect" "RS3_FX_UI_Target_LivingWall_Mesh_01"
data "Template1" "d5c821c3-c48d-47c5-898f-078fae4585db"
data "Template2" "d5c821c3-c48d-47c5-898f-078fae4585db"
data "Template3" "d5c821c3-c48d-47c5-898f-078fae4585db"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "PreviewEffect" "RS3_FX_UI_Target_LivingWall_Mesh_01"

